City_State,Population,
NewYork_NY,8363710,
LosAngeles_CA,3833995,
Chicago_IL,2853114,
Houston_TX,2242193,
Phoenix_AZ,1567924,
Philadelphia_PA,1447395,
SanAntonio_TX,1351305,
Dallas_TX,1279910,
SanDiego_CA,1279329,
SanJose_CA,948279,
Detroit_MI,912062,
SanFrancisco_CA,808976,
Jacksonville_FL,807815,
Indianapolis_IN,798382,
Austin_TX,757688,
Columbus_OH,754885,
FortWorth_TX,703073,
Charlotte_NC,687456,
Memphis_TN,669651,
Baltimore_MD,636919,
ElPaso_TX,613190,
Boston_MA,609023,
Milwaukee_WI,604477,
Denver_CO,598707,
Seattle_WA,598541,
Nashville_TN,596462,
Washington_DC,591833,
LasVegas_NV,558383,
Portland_OR,557706,
Louisville_KY,557224,
OklahomaCity_OK,551789,
Tucson_AZ,541811,
Atlanta_GA,537958,
Albuquerque_NM,521999,
Fresno_CA,476050,
Sacramento_CA,463794,
LongBeach_CA,463789,
Mesa_AZ,463552,
KansasCity_MO,451572,
Omaha_NE,438646,
Cleveland_OH,433748,
VirginiaBeach_VA,433746,
Miami_FL,413201,
Oakland_CA,404155,
Raleigh_NC,392552,
Tulsa_OK,385635,
Minneapolis_MN,382605,
ColoradoSprings_CO,380307,
Honolulu_HI,374676,
Arlington_TX,374417,
Wichita_KS,366046,
St.Louis_MO,354361,
Tampa_FL,340882,
SantaAna_CA,339130,
Anaheim_CA,335288,
Cincinnati_OH,333336,
Bakersfield_CA,321078,
Aurora_CO,319057,
NewOrleans_LA,311853,
Pittsburgh_PA,310037,
Riverside_CA,295357,
Toledo_OH,293201,
Stockton_CA,287037,
CorpusChristi_TX,286462,
Lexington_KY,282114,
St.Paul_MN,279590,
Anchorage_AK,279243,
Newark_NJ,278980,
Buffalo_NY,270919,
Plano_TX,267480,
Henderson_NV,252064,
Lincoln_NE,251624,
FortWayne_IN,251591,
Glendale_AZ,251522,
Greensboro_NC,250642,
Chandler_AZ,247140,
St.Petersburg_FL,245314,
JerseyCity_NJ,241114,
Scottsdale_AZ,235371,
Norfolk_VA,234220,
Madison_WI,231916,
Orlando_FL,230519,
Birmingham_AL,228798,
BatonRouge_LA,223689,
Durham_NC,223284,
Laredo_TX,221659,
Lubbock_TX,220483,
Chesapeake_VA,220111,
ChulaVista_CA,219318,
Garland_TX,218577,
Winston-Salem_NC,217600,
NorthLasVegas_NV,217253,
Reno_NV,217016,
Gilbert_AZ,216449,
Hialeah_FL,210542,
Arlington_VA,209969,
Akron_OH,207510,
Irvine_CA,207500,
Rochester_NY,206886,
BoiseCity_ID,205314,
Modesto_CA,202967,
Fremont_CA,202867,
Montgomery_AL,202696,
Spokane_WA,202319,
Richmond_VA,202002,
Yonkers_NY,201588,
Irving_TX,201358,
Shreveport_LA,199729,
SanBernardino_CA,198580,
Tacoma_WA,197181,
Glendale_CA,197176,
DesMoines_IA,197052,
Augusta_GA,194149,
GrandRapids_MI,193396,
HuntingtonBeach_CA,192620,
Mobile_AL,191022,
MorenoValley_CA,190871,
LittleRock_AR,189515,
Amarillo_TX,187236,
Columbus_GA,186984,
Oxnard_CA,185717,
Fontana_CA,184984,
Knoxville_TN,184802,
FortLauderdale_FL,183126,
SaltLakeCity_UT,181698,
NewportNews_VA,179614,
Huntsville_AL,176645,
Tempe_AZ,175523,
Brownsville_TX,175494,
Worcester_MA,175011,
Fayetteville_NC,174091,
Jackson_MS,173861,
Tallahassee_FL,171922,
Aurora_IL,171782,
Ontario_CA,171691,
Providence_RI,171557,
OverlandPark_KS,171231,
RanchoCucamonga_CA,171176,
Chattanooga_TN,170880,
Oceanside_CA,169684,
SantaClarita_CA,169500,
GardenGrove_CA,165796,
Vancouver_WA,163186,
GrandPrairie_TX,160641,
Peoria_AZ,157960,
Rockford_IL,157272,
CapeCoral_FL,156835,
Springfield_MO,156206,
SantaRosa_CA,155796,
SiouxFalls_SD,154997,
PortSt.Lucie_FL,154353,
Dayton_OH,154200,
Salem_OR,153435,
Pomona_CA,152699,
Springfield_MA,150640,
Eugene_OR,150104,
Corona_CA,149923,
Pasadena_TX,146439,
Joliet_IL,146125,
PembrokePines_FL,145661,
Paterson_NJ,145643,
